Prefix,Category,Notes,History_Field,Date_Onset_Field,Additional_Fields
F10.99,Alcohol,Alcohol use unspecified with other alcohol-induced disorder,risk_factors__alcohol,Alcohol_date of onset,
Z72.1,Alcohol,Alcohol use,risk_factors__alcohol,Alcohol_date of onset,
G62.1,Alcohol,Alcoholic polyneuropathy (remote),risk_factors__alcohol,Alcohol_date of onset,
K70,Alcohol,Alcoholic liver disease (remote),risk_factors__alcohol,Alcohol_date of onset,
K29.20,Alcohol,Alcoholic gastritis without bleeding (remote),risk_factors__alcohol,Alcohol_date of onset,
K85.2,Alcohol,Alcohol induced acute pancreatitis (remote),risk_factors__alcohol,Alcohol_date of onset,
F11,Drug,Opioid related disorders (parent),Risk factor_drug,Drug_date of onset,
F11.10,Drug,Opioid abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F11.20,Drug,Opioid dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F11.90,Drug,Opioid use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F12,Drug,Cannabis related disorders (parent),Risk factor_drug,Drug_date of onset,
F12.10,Drug,Cannabis abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F12.20,Drug,Cannabis dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F12.90,Drug,Cannabis use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F13,Drug,Sedative/hypnotic/anxiolytic related disorders (parent),Risk factor_drug,Drug_date of onset,
F13.10,Drug,Sedative abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F13.20,Drug,Sedative dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F13.90,Drug,Sedative use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F14,Drug,Cocaine related disorders (parent),Risk factor_drug,Drug_date of onset,
F14.10,Drug,Cocaine abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F14.20,Drug,Cocaine dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F14.90,Drug,Cocaine use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F15,Drug,Other stimulant related disorders (parent),Risk factor_drug,Drug_date of onset,
F15.10,Drug,Other stimulant abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F15.20,Drug,Other stimulant dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F15.90,Drug,Other stimulant use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F16,Drug,Hallucinogen related disorders (parent),Risk factor_drug,Drug_date of onset,
F16.10,Drug,Hallucinogen abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F16.20,Drug,Hallucinogen dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F16.90,Drug,Hallucinogen use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F18,Drug,Inhalant related disorders (parent),Risk factor_drug,Drug_date of onset,
F18.10,Drug,Inhalant abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F18.20,Drug,Inhalant dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F18.90,Drug,Inhalant use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
F19,Drug,Other psychoactive substance related disorders (parent),Risk factor_drug,Drug_date of onset,
F19.10,Drug,Other psychoactive substance abuse uncomplicated,Risk factor_drug,Drug_date of onset,
F19.20,Drug,Other psychoactive substance dependence uncomplicated,Risk factor_drug,Drug_date of onset,
F19.90,Drug,Other psychoactive substance use unspecified uncomplicated,Risk factor_drug,Drug_date of onset,
Z72.2,Drug,Drug use,Risk factor_drug,Drug_date of onset,
